Author Name,Author ID,Date,Post Text,Replies,Likes,Reshares,Views
Jon Hemker,@Jofin710,2017-11-10T19:59:56.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Scott White,@scottdwhite1991,2017-11-10T19:37:09.000Z,XYZprinting Announces Alliances with Three New  3D Printing  Partners  https:// ting-partnerships/ …,0,0,0,0
CM,@morganmonroe1,2017-11-10T20:03:23.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Abdullah Al Mahamud,@aamsuzon,2017-11-10T20:30:35.000Z,Bearing  3D Printed  Jewelry by Giulio Iacchetti for Maison 203  http://,0,0,0,0
Michael Osborn,@mosborn13,2017-11-10T19:32:47.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Blitz,@Darkspiral_94,2017-11-10T20:11:08.000Z,3D Printer  Farms And Robotics Start Pointing To Future Of Manufacturing - Forbes  http://,0,0,0,0
The Edvocate,@AdvocateforEd,2017-11-10T19:54:19.000Z,3D Printing  Activities to Try in Your Classroom  http:// tivities-try-classroom/?utm_source=ReviveOldPost&utm_medium=social&utm_campaign=ReviveOldPost …,0,0,0,0
Jason Thomas,@Jason_D_Thomas,2017-11-10T19:50:00.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Fabbing,@fabbing,2017-11-10T20:16:23.000Z,Toy Maker:  3D Print  Toys at Home with New App from AstroPrint  http://,0,0,0,0
Danielle LeFors,@Leforstein86,2017-11-10T19:20:11.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Silensho,@silensho,2017-11-10T20:07:39.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Acondel,@Acondel_,2017-11-10T20:28:38.000Z,"Tumaker Voladd desktop  3D printer  hits the market, expects to sell 3000 units by end of year -  http:// -desktop-3d-printer-hits-the-market-expects-to-sell-3000-units-by-end-of-year/ …  - -  #3DPrinting",0,0,0,0
Nancy Hewitt,@nlh71,2017-11-10T20:29:44.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Gerald Engleman,@gerald_engleman,2017-11-10T19:06:10.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Nicky,@Nicky67874561,2017-11-10T20:12:37.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
LancashireSkillsHub,@LancsSkillsHub,2017-11-10T19:38:37.000Z,"Read about investment in  additive manufacturing @LancasterUni  & benefits to businesses, learners & young people! Fantastic!  @lancslep http:// 2017/next-generation-3d-printing-investment-helps-widen-access-to-technology-/ …",0,0,0,0
Matthew Gardner,@MSG1701,2017-11-10T19:29:42.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Mark Musch,@MarkMusch1,2017-11-10T19:37:35.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Formfeuer,@formfeuer,2017-11-10T19:53:12.000Z,"Tumaker's Voladd desktop  3D printer  hits the market, expects to sell 3000 units by end of year…  http:// #3dprint #maker #f …",0,0,0,0
Brad,@Crazy27701007,2017-11-10T19:48:17.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Janet Collins,@Arayea,2017-11-10T20:22:57.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Toby Martin,@00Panthers,2017-11-10T19:46:50.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
JohnB,@vaman215,2017-11-10T19:43:38.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
Story Long,@storyspinner70,2017-11-10T19:16:31.000Z,"I entered a giveaway to win ""SainSmart x Anet A8 Prusa i3  3D Printer ..."" by  #SainSmart !  #GiveToEmpower https:// 7993/?ref_=tsm_4_tw_p_tw … #giveaway",0,0,0,0
